Start_DF1	End_DF1	Start_DF2	End_DF2	Overlap_Percentage_DF1	Overlap_Percentage_DF2	Strand_DF1	Strand_DF2	Feature_DF1	Feature_DF2	Tools_DF1	Tools_DF2
1467476	1467664	NA	NA	0	0	-	NA	CDS	NA	glimmer	NA
1467959	1472437	1468013	1472437	98.7943737441393	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1472512	1473099	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1473355	1473474	NA	NA	0	0	-	NA	CDS	NA	glimmer	NA
1473504	1474604	1473513	1474604	99.1825613079019	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
1474667	1475023	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1475060	1475485	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1475647	1477617	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1477967	1478074	1478022	1478621	49.0740740740741	8.83333333333333	+	+	CDS	CDS	prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
1478022	1478621	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1478657	1479136	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1479307	1481238	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1481605	1482519	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1483766	1484038	1483775	1484038	96.7032967032967	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1484093	1484431	1484114	1484431	93.8053097345133	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1484758	1484871	NA	NA	0	0	+	NA	CDS	NA	glimmer	NA
1484963	1499689	1484963	1499680	99.9388877571807	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1499686	1499829	NA	NA	0	0	-	NA	CDS	NA	glimmer	NA
1499846	1500337	1499846	1500286	89.6341463414634	100	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1500377	1501639	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1501640	1502635	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1501640	1502635	1502635	1503858	0.100401606425703	0.0816993464052288	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, prodigal, prokka, rast
1501640	1502635	1502635	1503834	0.100401606425703	0.0833333333333333	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	glimmer
1502635	1503858	1503858	1504631	0.0816993464052288	0.129198966408269	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer, prodigal, prokka
1502635	1503858	1503858	1504622	0.0816993464052288	0.130718954248366	-	-	CDS	CDS	gms2, prodigal, prokka, rast	gms2, rast
1502635	1503858	1502635	1503834	98.0392156862745	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1503858	1504622	1504616	1505206	0.915032679738562	1.1844331641286	-	-	CDS	CDS	gms2, rast	gms2, glimmer, prodigal, prokka, rast
1503858	1504631	1504616	1505206	2.0671834625323	2.7072758037225	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
1503858	1504631	1503858	1504622	98.8372093023256	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1504616	1505206	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1505207	1505809	1505800	1506981	1.65837479270315	0.846023688663283	-	-	CDS	CDS	glimmer	gms2, glimmer, prodigal, prokka, rast
1505207	1505809	1505207	1505794	97.5124378109453	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1505800	1506981	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1507278	1507811	1507278	1507802	98.314606741573	100	-	-	CDS	CDS	prodigal, prokka	gms2, rast
1507278	1507949	1507899	1508762	7.58928571428571	5.90277777777778	-	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1507278	1507949	1507278	1507802	78.125	100	-	-	CDS	CDS	glimmer	gms2, rast
1507278	1507949	1507278	1507811	79.4642857142857	100	-	-	CDS	CDS	glimmer	prodigal, prokka
1507278	1507949	1507944	1508762	0.892857142857143	0.732600732600733	-	+	CDS	CDS	glimmer	glimmer
1507899	1508762	1508759	1509931	0.462962962962963	0.341005967604433	+	-	CDS	CDS	gms2, prodigal, prokka, rast	gms2, prodigal, prokka, rast
1507899	1508762	1507944	1508762	94.7916666666667	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1507899	1508762	1508759	1509952	0.462962962962963	0.33500837520938	+	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1507944	1508762	1508759	1509931	0.488400488400488	0.341005967604433	+	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1507944	1508762	1508759	1509952	0.488400488400488	0.33500837520938	+	-	CDS	CDS	glimmer	glimmer
1508759	1509952	1508759	1509931	98.2412060301507	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1510084	1510428	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1510549	1511310	1510549	1511295	98.0314960629921	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1511317	1511616	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1511854	1512582	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1511854	1512582	1512582	1513898	0.137174211248285	0.0759301442672741	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1512582	1513898	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1514017	1516608	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1516738	1521873	1516738	1521801	98.5981308411215	100	-	-	CDS	CDS	glimmer	rast
1516738	1521921	1516738	1521873	99.0740740740741	100	-	-	CDS	CDS	gms2, prodigal, prokka	glimmer
1516738	1521921	1516738	1521801	97.6851851851852	100	-	-	CDS	CDS	gms2, prodigal, prokka	rast
1522244	1525210	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1525298	1526095	1526088	1527677	1.00250626566416	0.50314465408805	-	-	CDS	CDS	glimmer, rast	gms2, glimmer, prodigal, prokka, rast
1525298	1526098	1526088	1527677	1.37328339575531	0.691823899371069	-	-	CDS	CDS	gms2, prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
1525298	1526098	1525298	1526095	99.625468164794	100	-	-	CDS	CDS	gms2, prodigal, prokka	glimmer, rast
1526088	1527677	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1527713	1528651	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1528654	1529718	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1529843	1531816	1529843	1531774	97.8723404255319	100	-	-	CDS	CDS	glimmer, rast	gms2, prodigal, prokka
1531987	1534440	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1534622	1535755	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1535842	1536609	1535842	1536480	83.203125	100	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer, rast
1536716	1537198	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1537342	1537710	1537405	1537710	82.9268292682927	100	+	+	CDS	CDS	prodigal, prokka	gms2, rast
1537342	1537710	1537417	1537710	79.6747967479675	100	+	+	CDS	CDS	prodigal, prokka	glimmer
1537405	1537710	1537417	1537710	96.078431372549	100	+	+	CDS	CDS	gms2, rast	glimmer
1537972	1539465	1538008	1539465	97.5903614457831	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1539585	1539962	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1540098	1540964	1540098	1540937	96.8858131487889	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1541088	1542605	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1542625	1543422	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1543423	1543668	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1543804	1545141	1543819	1545141	98.8789237668161	100	+	+	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
1545162	1547189	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1547223	1549280	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1549938	1550057	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1550111	1550239	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1550111	1550239	1550228	1550347	9.30232558139535	10	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	glimmer
1550505	1551413	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1551438	1552511	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1552611	1553108	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1552611	1553108	1553103	1553231	1.20481927710843	4.65116279069767	-	+	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	rast
1553103	1553231	1553134	1553247	75.968992248062	85.9649122807018	+	-	CDS	CDS	rast	glimmer
1553287	1553775	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1553841	1554221	1553841	1554197	93.7007874015748	100	-	-	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
1554670	1554981	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1555016	1555312	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1555411	1557300	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1557303	1559723	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1560192	1561394	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1561566	1562768	1561587	1562768	98.2543640897756	100	+	+	CDS	CDS	gms2	prodigal, prokka
1561566	1562768	1561662	1562768	92.0199501246883	100	+	+	CDS	CDS	gms2	glimmer, rast
1561587	1562768	1561662	1562768	93.6548223350254	100	+	+	CDS	CDS	prodigal, prokka	glimmer, rast
1562859	1563896	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1563906	1564025	1563994	1565697	26.6666666666667	1.87793427230047	+	+	CDS	CDS	glimmer	prodigal, prokka, rast
1563994	1565697	1564066	1565697	95.7746478873239	100	+	+	CDS	CDS	prodigal, prokka, rast	glimmer
1563994	1565697	1564210	1565697	87.3239436619718	100	+	+	CDS	CDS	prodigal, prokka, rast	gms2
1564066	1565697	1564210	1565697	91.1764705882353	100	+	+	CDS	CDS	glimmer	gms2
1565737	1567572	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1567663	1569339	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1569364	1570944	1569379	1570944	99.0512333965844	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1571066	1571509	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1571560	1572519	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1572529	1573035	1572529	1573029	98.8165680473373	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1573041	1574162	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1574292	1575224	1574301	1575224	99.0353697749196	100	+	+	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
1575298	1577403	1575298	1577334	96.7236467236467	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1577625	1578335	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1578479	1579609	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1579693	1580070	1579693	1579806	30.1587301587302	100	-	-	CDS	CDS	gms2, prodigal, prokka	glimmer
1580156	1580653	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1580703	1582424	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1582621	1584033	1584030	1585190	0.283085633404105	0.344530577088717	-	-	CDS	CDS	gms2, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1582621	1584045	1584030	1585190	1.12280701754386	1.37812230835487	-	-	CDS	CDS	glimmer	gms2, glimmer, prodigal, prokka, rast
1582621	1584045	1582621	1584033	99.1578947368421	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1584030	1585190	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1585377	1586423	1585377	1586411	98.8538681948424	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1586430	1587569	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1587702	1588322	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1588397	1589179	1589176	1591677	0.510855683269476	0.159872102318145	+	-	CDS	CDS	gms2, glimmer, rast	gms2, glimmer, prodigal, prokka, rast
1588397	1589179	1588424	1589179	96.551724137931	100	+	+	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
1588424	1589179	1589176	1591677	0.529100529100529	0.159872102318145	+	-	CDS	CDS	prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
1589176	1591677	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1591934	1595011	1592015	1595011	97.3684210526316	100	+	+	CDS	CDS	glimmer, rast	gms2, prodigal, prokka
1595057	1599736	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1599890	1600018	NA	NA	0	0	+	NA	CDS	NA	glimmer	NA
1600058	1600333	1600058	1600210	55.4347826086956	100	-	-	CDS	CDS	glimmer	rast
1600356	1603685	1600422	1603685	98.018018018018	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1603687	1604700	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1604728	1605267	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1605343	1606011	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1606136	1607746	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1607964	1609139	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1609270	1611864	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1612109	1612441	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1612470	1613558	1612470	1613555	99.7245179063361	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1613583	1613891	1613876	1614010	5.17799352750809	11.8518518518519	-	+	CDS	CDS	glimmer	glimmer
1613583	1614116	1614113	1615411	0.749063670411985	0.307929176289453	-	-	CDS	CDS	gms2, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1613583	1614116	1613583	1613891	57.8651685393258	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1613583	1614116	1613876	1614010	25.2808988764045	100	-	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1614113	1615411	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1615446	1617080	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1617095	1618111	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1618145	1618663	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1618145	1618663	1618663	1620444	0.192678227360308	0.0561167227833895	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1618663	1620444	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1620577	1620750	NA	NA	0	0	-	NA	CDS	NA	glimmer	NA
1620908	1622650	1620908	1622617	98.1067125645439	100	-	-	CDS	CDS	rast	gms2, prodigal, prokka
1620908	1622659	1620908	1622617	97.6027397260274	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka
1620908	1622659	1620908	1622650	99.486301369863	100	-	-	CDS	CDS	glimmer	rast
1622922	1624544	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1624909	1625877	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1625907	1627142	1625907	1627133	99.2718446601942	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1627322	1627678	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1627725	1628963	1627740	1628963	98.7893462469734	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1629055	1629582	1629106	1629582	90.3409090909091	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1629596	1630432	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1630499	1631695	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1631732	1633069	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1633428	1633682	1633485	1633682	77.6470588235294	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1633712	1634794	1633763	1634794	95.2908587257618	100	+	+	CDS	CDS	gms2, glimmer, rast	prodigal, prokka
1634796	1635833	1634814	1635833	98.2658959537572	100	+	+	CDS	CDS	prodigal, prokka	gms2, rast
1634796	1635833	1634805	1635833	99.1329479768786	100	+	+	CDS	CDS	prodigal, prokka	glimmer
1634805	1635833	1634814	1635833	99.1253644314869	100	+	+	CDS	CDS	glimmer	gms2, rast
1636077	1636832	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1637164	1637349	NA	NA	0	0	-	NA	CDS	NA	glimmer	NA
1637368	1638411	1637383	1638411	98.5632183908046	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
1638606	1639472	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1639549	1639971	1639549	1639965	98.5815602836879	100	-	-	CDS	CDS	rast	gms2, prodigal, prokka
1639549	1639986	1639549	1639965	95.2054794520548	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka
1639549	1639986	1639549	1639971	96.5753424657534	100	-	-	CDS	CDS	glimmer	rast
1640088	1641080	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1641123	1643438	1641123	1643429	99.6113989637306	100	-	-	CDS	CDS	rast	gms2
1641123	1643456	1641123	1643429	98.8431876606684	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2
1641123	1643456	1641123	1643438	99.2287917737789	100	-	-	CDS	CDS	glimmer, prodigal, prokka	rast
1643520	1645103	1643520	1645007	93.9393939393939	100	-	-	CDS	CDS	gms2, prodigal, prokka	rast
1643520	1645115	1643520	1645103	99.2481203007519	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka
1643520	1645115	1643520	1645007	93.2330827067669	100	-	-	CDS	CDS	glimmer	rast
1645261	1646085	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1645261	1646085	1646078	1647217	0.96969696969697	0.701754385964912	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1646078	1647217	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1647263	1647394	1647376	1648851	14.3939393939394	1.28726287262873	+	+	CDS	CDS	rast	gms2, glimmer, prodigal, prokka, rast
1647376	1648851	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1648868	1650988	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1651086	1653809	1651086	1653803	99.7797356828194	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1653908	1654252	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1654265	1654615	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1654671	1655417	1655417	1656841	0.133868808567604	0.0701754385964912	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer, prodigal, prokka, rast
1654671	1655417	1654671	1655405	98.3935742971887	100	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer, rast
1655417	1656841	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1656901	1657797	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1657989	1659203	1657992	1659203	99.7530864197531	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1659275	1660798	1659278	1660798	99.8031496062992	100	+	+	CDS	CDS	glimmer, rast	gms2, prodigal, prokka
1660881	1662689	1660890	1662689	99.5024875621891	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1662796	1663575	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1663594	1663947	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1664072	1664863	1664081	1664863	98.8636363636364	100	+	+	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1664866	1665417	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1665427	1666260	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1666358	1667380	1666367	1667380	99.1202346041056	100	+	+	CDS	CDS	gms2	prodigal, prokka
1666358	1667380	1666436	1667380	92.375366568915	100	+	+	CDS	CDS	gms2	glimmer, rast
1666367	1667380	1666436	1667380	93.1952662721893	100	+	+	CDS	CDS	prodigal, prokka	glimmer, rast
1667597	1668268	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1668301	1669329	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1668301	1669329	1669318	1670676	1.16618075801749	0.883002207505519	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka
1668301	1669329	1669318	1670553	1.16618075801749	0.970873786407767	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	rast
1669318	1670553	1670519	1670653	2.83171521035599	25.9259259259259	-	+	CDS	CDS	rast	rast
1669318	1670676	1669318	1670553	90.9492273730684	100	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1669318	1670676	1670519	1670653	9.93377483443709	100	-	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1670725	1671969	1670725	1671915	95.6626506024096	100	-	-	CDS	CDS	glimmer, rast	gms2, prodigal, prokka
1672129	1674201	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1674261	1674806	1674261	1674794	97.8021978021978	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1675160	1675585	1675205	1675585	89.4366197183099	100	+	+	CDS	CDS	gms2, prodigal, prokka	glimmer, rast
1675644	1676174	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1676185	1676838	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1676922	1677683	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1677709	1678248	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1678405	1679481	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1679525	1680604	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1681646	1682116	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1682191	1682793	1682191	1682784	98.5074626865672	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
1682947	1684263	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1684614	1685402	1684623	1685402	98.8593155893536	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
1685409	1687427	1685409	1687361	96.7310549777117	100	-	-	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1687646	1688302	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1688357	1689028	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1689181	1689504	1689235	1689504	83.3333333333333	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
1689583	1689945	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1690246	1691034	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1691052	1692020	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1692052	1692804	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1692840	1693889	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1692840	1693889	1693876	1694991	1.33333333333333	1.25448028673835	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1693876	1694991	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1695085	1695888	1695151	1695888	91.7910447761194	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
1695966	1697060	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1695966	1697060	1697057	1698295	0.365296803652968	0.322841000807102	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
1697057	1698295	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1698297	1699151	1698297	1699121	96.4912280701754	100	-	-	CDS	CDS	prodigal, prokka	gms2, glimmer, rast
1698297	1699151	1699142	1699288	1.16959064327485	6.80272108843537	-	+	CDS	CDS	prodigal, prokka	glimmer
1699528	1702134	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
